Genes,p_vals
SLFN12L,0.4657735241688379
H2BC15,0.18382105566558304
COX14,0.164887420144517
PCDHGB7,0.635050049768349
ZNF791,0.8766170217200899
GEMIN4,0.33029873826641
SMIM7,0.41165668071885103
CD4,0.292254139101682
PSPN,0.32463360078539005
RPL27,0.8228724253086049
SYTL4,0.0751177094469018
TRIM26,0.0457589446985314
MUC4,0.5133441358991611
JMJD1C-AS1,0.8063545225253291
SHKBP1,0.11939098672956
UBE2E1,0.844509251299893
PDGFRB,0.189566081673874
COL18A1,0.151987461814057
DEGS2,0.175900385607982
CDHR3,0.38989014577156894
FAM238A,0.678242587520036
KRT8P33,0.811328136000526
TANGO6,0.665070061180018
ARMCX5,0.871820092015641
GNRH1,0.250193280469025
ABT1,0.691269394681727
IQCB1,0.5988069249239699
LRRC34,0.7152374942680692
DCBLD2,0.252239843354005
NFX1,0.0235183259112112
SUMO1,0.767712441419968
FUCA2,0.6217439412096739
RERE-AS1,0.41997860886529
RAB11FIP4,0.415371701918358
ATP6V1H,0.696632959100447
FOXO1,0.751786135768729
MRPL23,0.277589362578825
FRYL,0.7448774723804741
TTC33,0.6138813822458841
BLTP2,0.8722660723473321
CNDP2,0.791928973007633
CD81,0.0500287682274967
LYN,0.516491973321506
LINC01882,0.974110334220885
CALM2,0.0028099385269876103
S100PBP,0.0214897616928169
KLRC4,0.20440773257080305
SNX2,0.5243096506707221
RPS27L,0.5893337967189379
FRA10AC1,0.878194344256277
GLE1,0.315995197102015
LAMB1,0.521900153771129
H2BC3,0.4669670482141551
SEPTIN7P13,0.4823794687260921
RPPH1,0.264494289629315
THOC2,0.392526006160791
ZFP1,0.316954950513334
CTXN2,0.6240447791735949
MFSD8,0.7235649736766501
SERBP1,0.581416575821275
SREBF2-AS1,0.0200399647546145
PTPN1,0.0198762600424777
DPP7,0.91010969222115
KCTD5,0.5772888180958161
CASP2,0.000159249632085325
MEF2D,0.159873170258675
ZNF527,0.27477595447048103
SLC7A6OS,0.7685819674258331
FFAR3,0.167850965877562
PHB1P6,0.8544605215882191
CNOT4,0.0542398665875911
ZBTB43,0.356069469784772
NDRG1,0.200762613719238
PHTF1,0.467445193736642
RAB44,0.142716470024049
AKT2,0.910404219423529
CD99,0.0205149938824856
ZFX,0.435009956454539
MPG,0.8656771245115971
SLC2A3,0.14696139139078102
ABHD11,0.4228314872454421
GALNT5,0.0552654304856637
HIC2,0.15456409049884398
ELP4,0.907911093455906
TIMM23B,0.3779092605931961
SCAMP4,0.520544014490291
TMEM126A,0.843534302428985
WFIKKN1,0.43064535284829497
ST6GALNAC1,0.772627119787987
ZNF680,0.8018245104436791
GTPBP1,0.0930398079442577
PTRH2,0.26533141708407604
PAX8,0.5430001183441829
LGR6,0.5218576435526071
TEF,0.782196728064034
TIMM44,0.5961926904470429
UBTD1,0.166736632641413
SATB2,0.360365902248224
ROCK1,0.7039477178135359
CYSTM1,0.117631698075231
YBEY,0.7601794910511859
CHD1L,0.315004911143078
CROCC,0.735076201808058
SERTAD3,0.271801972826586
CAST,0.411528427084178
MTAP,0.942293192509304
LOC102723451,0.773955152761157
CLCF1,0.257778263127234
LTV1,0.9082549865999372
GPRC5D-AS1,0.595188535415874
ABHD6,0.522471531738115
LUNAR1,0.7846836795110941
SETP11,0.935207423274934
CUL9,0.8299527115138291
TAF3,0.116345413172289
PABIR2,0.92340329163016
UBE2O,0.24058234330097106
PDE3B,0.0175162735280874
LAMP1,0.29159086028680603
TNFRSF14,0.8758063739468299
RAD50,0.6414782180110911
EGR1,0.0041583604219474785
ZDHHC4P1,0.184620626252401
PRR7,0.470451671496449
NATD1,0.153815764908478
NRSN2-AS1,0.8239272944215129
LILRB1,0.784178644824447
MIR9-3HG,0.530676330107547
OR52U1P,0.3470844993153431
TRBV27,0.00167632126829355
CRELD1,0.282811799266412
ZDHHC16,0.0519626510271325
SPIB,0.17666818546120994
FUT10,0.109070998891566
CYRIA,0.0157016157264883
EPCIP-AS1,0.34855457786879906
SNED1,0.126351624144378
VARS1,0.5985323420057261
RAB40B,0.46209421189268
MRPS28,0.128801297928475
TRAPPC4,0.140870579516641
ANKRD36BP2,0.5790751478861271
ELOVL5,0.0240796413377692
GFI1,0.0356926286862083
CERCAM,0.109704455434091
IFT25,0.289356864397216
N4BP2L2-IT2,0.8838079004367891
LINC02910,0.529559833100535
CBX6,0.0810262780460712
PSMB6,0.194152941660272
CYB561D1,0.7336435512965479
PPP3R1,0.567157688861958
FEN1,0.3530930998376149
KIF27,0.30055492676844103
RIC8B,0.5849484942668951
BEX4,0.9284268159873472
HCAR2,0.162817977585718
DIP2B,0.042258153563286
ATP5IF1,0.580412407361609
KLF13,0.0861961782860479
RNF39,0.8407725511231241
SPEF2,0.0620037702620558
SCAND2P,0.535906886907476
PPT2-EGFL8,0.6878985774763471
CAP1,0.0194982779508599
RFESD,0.274611553182046
ABCA2,0.641421098372454
ZNF439,0.562360700591659
SPTSSA,0.5791967531171379
HDX,0.4871714772309601
POR,0.297656942552155
USF3,0.8543462409014821
RHOXF1P3,0.500771617718717
ZCWPW1,0.4308475477659339
RRM2B,0.714702819937427
SOS1-IT1,0.23069895997772
SIGLEC10-AS1,0.827874482423759
PIP5K1B,0.221336771644795
PRRC1,0.565008154467322
GYPA,0.357872434435445
RSPRY1,0.872211934139232
BABAM2,0.482938571547025
TRAV21,0.8131914308876601
MARVELD1,0.82640050817919
ZFY,0.726443175352441
C8orf17,0.791574060702492
SPRYD7,0.8627610573479141
NDRG2,0.0279061965872028
MTND5P32,0.377434113907378
NPM1P29,0.342398490575367
IGKV1-33,0.000837578318457271
SLC12A4,0.288029465061561
SGCD,0.11051514480036
FLT1P1,0.3813813869227949
PPIAL4H,0.601319278370754
TMEM39A,0.612171007075145
CFDP1,0.3846399859682871
STARD7-AS1,0.99108703967958
EML2,0.7930711959363
CD300A,0.960014967013862
CMAHP,0.836889777920305
TRAPPC6B,0.9336378348704708
GOLGA8N,0.779922645673162
COL9A2,1.53258668441917e-07
ADCY1,0.4604917394597221
ATP5MC3,0.42974989673687897
SLC31A2,0.0024014034277563
SLC35G6,0.5505588076762861
CEP162,0.216769744960108
USF1P1,0.645838506589871
SNHG20,0.21457842955751105
PDCL,0.475980415724093
TRBV28,0.37144430987767896
TRIM46,0.153117799698016
ZRANB1,0.485345280220116
ITFG2,0.8631035421652891
KPNA1,0.0636626597843527
BABAM1,0.4740268222520711
TANK,0.273916082176754
MAP3K2,0.6861149067740739
PAF1,0.317455774475184
SRRM2,0.244405043957657
SCAMP5,0.0647387578636712
TPCN2,0.3639364938729821
TSPEAR-AS1,0.0768744581671154
LINC02610,0.762554768602518
CYTH3,0.180406989931784
GOLGA2P7,0.598665212707618
INO80B,0.128810352735617
AGMAT,0.8703425063911999
PANK3,0.0696191381917424
GET3,0.34222674782106
RPL7AP2,0.517857001969349
INSIG2,0.549436010141909
MIDN,0.20938091449621304
SNHG14,0.387757320542711
GATA3,0.32976354119486795
HK1,0.765815462785718
SLC4A1,0.00314767428195147
SDC3,0.0338275094179747
LINC02212,0.00362945495093719
PLEKHF2,0.325828184064811
C5,0.399349781042273
NR3C1,0.700907826876987
DGKG,0.4407646181432789
SPECC1,0.226838329897648
PTPN11,0.764355354997792
MINAR1,0.513575733692021
DUX4L50,0.0038484683090698898
CNTNAP2,0.109044858356776
PFKL,0.9933627507245492
RAB3IP,0.9469774609827792
APOLD1,0.959520283774164
DENND2B,0.458872317506442
SLC25A19,0.4728903198573201
HNRNPDL,0.65144324061193
FAM3B,0.4933261904765301
B4GALNT4,0.193603631329282
FBRSL1,0.465384859379776
FBXL12,0.7760061063726109
SIDT2,0.37080807212285705
RO60,0.406435946475937
TTC13,0.0720866212006231
SH3BP5L,0.571258092761808
TRIM22,0.00101384025641914
IPO4,0.929759727428087
RNF41,0.224294209211939
CPA3,4.1528197957886896e-19
TM9SF1,0.543639617645076
IFIT1,0.17127164986892598
BBS1,0.791382161935922
DEFA4,0.981422243149347
NLN,0.804793777999533
PEF1,0.0945735569591802
CLEC10A,0.0362541704120743
HTR6,0.7347326700651109
CATSPERB,0.7479133459691921
KHNYN,0.443264574503
MTMR2,0.606114304322759
TXNL4B,0.936787675351924
TTLL4,0.182114103072314
HCST,0.8828828160834399
CCDC50,0.0976020208888811
PARP11,0.9091035063929158
ZNF620,0.3699301446659449
FAM199X,0.35178462017001505
SNORA22C,0.364451008055772
FBXO4,0.26326672368114395
METTL2B,0.606580694144436
CCDC117,0.7764131096820409
TMEM186,0.6317251500802371
H2AJ,0.475509193496509
CEP97,0.674920948612417
EAPP,0.135714632427725
LILRA5,0.312637191165349
RNASE6,0.158927194995836
E2F2,0.128167823061938
SCAMP1-AS1,0.40278742185054295
TAF7,0.8655691891852979
CALR,0.804752034692579
MSN,0.834856727057859
RP9,0.7743254726449921
CD53,0.575221122209896
BRCA2,0.30015377117589
SNRNP27,0.24720925287555806
AVPR1A,0.421151871272839
C18orf21,0.58534269431938
ARHGEF10L,0.691244215018468
CACTIN,0.687034483285361
CCNYL1,0.685376563742916
TLNRD1,0.207069871865434
NPHP4,0.438566026691053
RRAS,0.0717535676182866
CENPBD2P,0.6494242532594399
KHDC4,0.18625936021554895
LENG9,0.160026045216306
RBM23,0.614044546570773
MAP3K12,0.574683503847065
KIN,0.72035787884973
PPARA,0.294900124447049
BEND2,0.136225916444784
PKDREJ,0.5178815589056041
TRIM59,0.6798415440982479
WDR5B-DT,0.657499412722573
SLC2A1-DT,0.174172701444078
AFAP1L2,0.647907895273216
PRELID1,0.588604189863074
ARRDC1-AS1,0.21186189272701506
CCDC12,0.4379562475590061
DPYD-AS2,0.0356429934172657
RPL13AP6,0.8809014500415258
G3BP1,0.473315962962367
FHL2,0.87429364234593
PNMA8B,0.0896336556012038
PMAIP1,0.256819763689903
FUT7,0.105645696022874
ACO1,0.6183789822470429
CDK2AP2,0.7590833899367809
RAPGEFL1,0.8977369216544929
ENY2,0.464354307771964
RNF13,0.323261815306255
SLC12A9,0.00279163335058202
PLD2,0.88055806011311
SLC30A7,0.762803781173505
TRAPPC10,0.4347531644784871
DDX3X,0.0578621848043695
LSM3,0.967393108837156
MVB12A,0.50983299487839
NKX3-1,0.171799107411413
DNAJC10,0.3751106704580279
ELF1,0.0448508895821028
REXO1L1P,0.415030508344303
TRIM35,0.858648667022105
TRAV8-2,0.0791143756162239
ABHD14B,0.599482053955242
NEDD4,0.499984779979231
PPIAP51,0.5373273699775479
RASAL2,0.122674064768812
TMEM63C,0.522257350842988
DRAIC,0.135817791800825
FRMD3,0.14237660486682502
OR7E100P,0.7611109683554709
ADIPOR2,0.208072585798662
RGCC,0.515523785738636
TARDBP,0.21148413902372096
MCM3,0.762061769616624
PAPOLA,0.422801220301892
BORCS7,0.289957057501094
CXCR1,0.09949045457308503
GRAMD1C,0.00826784627189
KIAA0040,0.26874122535990497
TESPA1,0.0643801265121266
CCDC13-AS2,0.316278667101339
JRKL,0.73273406326331
